date,product_code,customer_code,sold_quantity,fiscal_year
2019-09-01,A0118150101,70002017,137,2020
2019-09-01,A0118150101,70002018,47,2020
2019-09-01,A0118150101,70003181,57,2020
2019-09-01,A0118150101,70003182,63,2020
2019-09-01,A0118150101,70004069,9,2020
2019-09-01,A0118150101,70004070,3,2020
2019-09-01,A0118150101,70005163,41,2020
2019-09-01,A0118150101,70006157,61,2020
2019-09-01,A0118150101,70006158,44,2020
2019-09-01,A0118150101,70007198,51,2020
2019-09-01,A0118150101,70007199,46,2020
2019-09-01,A0118150101,70008169,74,2020
2019-09-01,A0118150101,70008170,75,2020
2019-09-01,A0118150101,70009133,14,2020
2019-09-01,A0118150101,70009134,12,2020
2019-09-01,A0118150101,70010047,11,2020
2019-09-01,A0118150101,70011193,6,2020
2019-09-01,A0118150101,70011194,16,2020
2019-09-01,A0118150101,70012042,17,2020
2019-09-01,A0118150101,70012043,20,2020
2019-09-01,A0118150101,70013125,7,2020
2019-09-01,A0118150101,70013126,4,2020
2019-09-01,A0118150101,70014142,19,2020
2019-09-01,A0118150101,70014143,16,2020
2019-09-01,A0118150101,70015151,13,2020
2019-09-01,A0118150101,70016177,5,2020
2019-09-01,A0118150101,70016178,16,2020
2019-09-01,A0118150101,70018115,11,2020
2019-09-01,A0118150101,70022085,40,2020
2019-09-01,A0118150101,70023031,29,2020
2019-09-01,A0118150101,70026206,16,2020
2019-09-01,A0118150101,80001019,56,2020
2019-09-01,A0118150101,80006154,90,2020
2019-09-01,A0118150101,80006155,120,2020
2019-09-01,A0118150101,80007195,131,2020
2019-09-01,A0118150101,90001021,52,2020
2019-09-01,A0118150101,90002001,113,2020
2019-09-01,A0118150101,90002002,151,2020
2019-09-01,A0118150101,90002003,44,2020
2019-09-01,A0118150101,90002005,52,2020
2019-09-01,A0118150101,90002006,143,2020
2019-09-01,A0118150101,90002007,114,2020
2019-09-01,A0118150101,90002009,128,2020
2019-09-01,A0118150101,90002010,59,2020
2019-09-01,A0118150101,90002011,54,2020
2019-09-01,A0118150101,90002013,137,2020
2019-09-01,A0118150101,90002014,166,2020
2019-09-01,A0118150101,90002015,91,2020
2019-09-01,A0118150101,90003179,52,2020
2019-09-01,A0118150101,90004061,2,2020
2019-09-01,A0118150101,90004062,10,2020
2019-09-01,A0118150101,90004063,1,2020
2019-09-01,A0118150101,90004065,5,2020
2019-09-01,A0118150101,90004066,11,2020
2019-09-01,A0118150101,90004067,9,2020
2019-09-01,A0118150101,90005159,48,2020
2019-09-01,A0118150101,90005161,8,2020
2019-09-01,A0118150101,90005162,43,2020
2019-09-01,A0118150101,90006153,32,2020
2019-09-01,A0118150101,90007197,87,2020
2019-09-01,A0118150101,90008165,75,2020
2019-09-01,A0118150101,90008166,20,2020
2019-09-01,A0118150101,90008167,10,2020
2019-09-01,A0118150101,90009127,13,2020
2019-09-01,A0118150101,90009129,14,2020
2019-09-01,A0118150101,90009130,12,2020
2019-09-01,A0118150101,90009131,10,2020
2019-09-01,A0118150101,90010045,24,2020
2019-09-01,A0118150101,90010046,9,2020
2019-09-01,A0118150101,90011185,46,2020
2019-09-01,A0118150101,90011186,10,2020
2019-09-01,A0118150101,90011187,14,2020
2019-09-01,A0118150101,90011189,33,2020
2019-09-01,A0118150101,90011190,29,2020
2019-09-01,A0118150101,90011191,42,2020
2019-09-01,A0118150101,90012033,22,2020
2019-09-01,A0118150101,90012034,5,2020
2019-09-01,A0118150101,90012035,31,2020
2019-09-01,A0118150101,90012037,27,2020
2019-09-01,A0118150101,90012038,7,2020
2019-09-01,A0118150101,90012039,12,2020
2019-09-01,A0118150101,90012041,10,2020
2019-09-01,A0118150101,90013117,28,2020
2019-09-01,A0118150101,90013118,25,2020
2019-09-01,A0118150101,90013119,17,2020
2019-09-01,A0118150101,90013121,28,2020
2019-09-01,A0118150101,90013122,16,2020
2019-09-01,A0118150101,90013123,27,2020
2019-09-01,A0118150101,90014135,13,2020
2019-09-01,A0118150101,90014137,16,2020
2019-09-01,A0118150101,90014138,13,2020
2019-09-01,A0118150101,90014139,15,2020
2019-09-01,A0118150101,90014141,8,2020
2019-09-01,A0118150101,90015145,4,2020
2019-09-01,A0118150101,90015146,9,2020
2019-09-01,A0118150101,90015147,6,2020
2019-09-01,A0118150101,90015149,7,2020
2019-09-01,A0118150101,90015150,9,2020
2019-09-01,A0118150101,90016171,17,2020
2019-09-01,A0118150101,90016173,16,2020
2019-09-01,A0118150101,90016174,7,2020
2019-09-01,A0118150101,90016175,15,2020
2019-09-01,A0118150101,90017049,4,2020
2019-09-01,A0118150101,90017050,13,2020
2019-09-01,A0118150101,90017051,23,2020
2019-09-01,A0118150101,90017053,7,2020
2019-09-01,A0118150101,90017054,16,2020
2019-09-01,A0118150101,90017055,10,2020
2019-09-01,A0118150101,90017057,15,2020
2019-09-01,A0118150101,90017058,15,2020
2019-09-01,A0118150101,90017059,10,2020
2019-09-01,A0118150101,90018105,9,2020
2019-09-01,A0118150101,90018106,11,2020
2019-09-01,A0118150101,90018107,2,2020
2019-09-01,A0118150101,90018109,8,2020
2019-09-01,A0118150101,90018110,11,2020
2019-09-01,A0118150101,90018111,4,2020
2019-09-01,A0118150101,90018113,3,2020
2019-09-01,A0118150101,90018114,4,2020
2019-09-01,A0118150101,90019201,2,2020
2019-09-01,A0118150101,90019202,1,2020
2019-09-01,A0118150101,90019203,2,2020
2019-09-01,A0118150101,90020097,1,2020
2019-09-01,A0118150101,90020099,1,2020
2019-09-01,A0118150101,90020101,1,2020
2019-09-01,A0118150101,90020103,1,2020
2019-09-01,A0118150101,90021086,22,2020
2019-09-01,A0118150101,90021087,26,2020
2019-09-01,A0118150101,90021089,16,2020
2019-09-01,A0118150101,90021090,35,2020
2019-09-01,A0118150101,90021091,12,2020
2019-09-01,A0118150101,90021093,43,2020
2019-09-01,A0118150101,90021094,25,2020
2019-09-01,A0118150101,90021095,30,2020
2019-09-01,A0118150101,90022071,68,2020
2019-09-01,A0118150101,90022073,72,2020
2019-09-01,A0118150101,90022074,71,2020
2019-09-01,A0118150101,90022075,49,2020
2019-09-01,A0118150101,90022077,108,2020
2019-09-01,A0118150101,90022078,74,2020
2019-09-01,A0118150101,90022079,89,2020
2019-09-01,A0118150101,90022081,149,2020
2019-09-01,A0118150101,90022082,42,2020
2019-09-01,A0118150101,90022083,45,2020
2019-09-01,A0118150101,90023022,43,2020
2019-09-01,A0118150101,90023023,35,2020
2019-09-01,A0118150101,90023025,29,2020
2019-09-01,A0118150101,90023026,39,2020
2019-09-01,A0118150101,90023027,31,2020
2019-09-01,A0118150101,90023029,8,2020
2019-09-01,A0118150101,90023030,59,2020
2019-09-01,A0118150101,90024183,1,2020
2019-09-01,A0118150101,90026205,2,2020
2019-09-01,A0118150101,90027207,12,2020
2019-10-01,A0118150101,70002017,40,2020
2019-10-01,A0118150101,70002018,32,2020
2019-10-01,A0118150101,70003181,42,2020
2019-10-01,A0118150101,70003182,103,2020
2019-10-01,A0118150101,70004069,6,2020
2019-10-01,A0118150101,70004070,8,2020
2019-10-01,A0118150101,70006157,20,2020
2019-10-01,A0118150101,70006158,12,2020
2019-10-01,A0118150101,70007198,49,2020
2019-10-01,A0118150101,70008169,86,2020
2019-10-01,A0118150101,70008170,52,2020
2019-10-01,A0118150101,70009133,17,2020
2019-10-01,A0118150101,70009134,11,2020
2019-10-01,A0118150101,70010048,30,2020
2019-10-01,A0118150101,70011193,64,2020
2019-10-01,A0118150101,70011194,38,2020
2019-10-01,A0118150101,70012042,25,2020
2019-10-01,A0118150101,70013125,29,2020
2019-10-01,A0118150101,70013126,28,2020
2019-10-01,A0118150101,70014142,30,2020
2019-10-01,A0118150101,70015152,7,2020
2019-10-01,A0118150101,70016177,16,2020
2019-10-01,A0118150101,70016178,11,2020
2019-10-01,A0118150101,70017060,16,2020
2019-10-01,A0118150101,70019204,2,2020
2019-10-01,A0118150101,70020104,2,2020
2019-10-01,A0118150101,70021096,14,2020
2019-10-01,A0118150101,70022084,62,2020
2019-10-01,A0118150101,70022085,53,2020
2019-10-01,A0118150101,70023032,59,2020
2019-10-01,A0118150101,70026206,19,2020
2019-10-01,A0118150101,70027208,22,2020
2019-10-01,A0118150101,80006154,276,2020
2019-10-01,A0118150101,80007196,161,2020
2019-10-01,A0118150101,90001020,65,2020
2019-10-01,A0118150101,90001021,49,2020
2019-10-01,A0118150101,90002001,125,2020
2019-10-01,A0118150101,90002002,129,2020
2019-10-01,A0118150101,90002004,61,2020
2019-10-01,A0118150101,90002005,181,2020
2019-10-01,A0118150101,90002006,94,2020
2019-10-01,A0118150101,90002008,119,2020
2019-10-01,A0118150101,90002009,78,2020
2019-10-01,A0118150101,90002010,178,2020
2019-10-01,A0118150101,90002012,171,2020
2019-10-01,A0118150101,90002013,186,2020
2019-10-01,A0118150101,90002014,210,2020
2019-10-01,A0118150101,90002016,148,2020
2019-10-01,A0118150101,90003180,95,2020
2019-10-01,A0118150101,90004061,2,2020
2019-10-01,A0118150101,90004062,3,2020
2019-10-01,A0118150101,90004064,5,2020
2019-10-01,A0118150101,90004065,3,2020
2019-10-01,A0118150101,90004066,4,2020
2019-10-01,A0118150101,90004068,11,2020
2019-10-01,A0118150101,90005160,45,2020
2019-10-01,A0118150101,90005161,16,2020
2019-10-01,A0118150101,90005162,18,2020
2019-10-01,A0118150101,90006153,76,2020
2019-10-01,A0118150101,90006156,28,2020
2019-10-01,A0118150101,90007197,47,2020
2019-10-01,A0118150101,90008164,44,2020
2019-10-01,A0118150101,90008165,58,2020
2019-10-01,A0118150101,90008166,25,2020
2019-10-01,A0118150101,90008168,104,2020
2019-10-01,A0118150101,90009128,14,2020
2019-10-01,A0118150101,90009129,8,2020
2019-10-01,A0118150101,90009130,28,2020
2019-10-01,A0118150101,90009132,15,2020
2019-10-01,A0118150101,90010044,4,2020
2019-10-01,A0118150101,90010045,12,2020
2019-10-01,A0118150101,90010046,11,2020
2019-10-01,A0118150101,90011185,8,2020
2019-10-01,A0118150101,90011186,25,2020
2019-10-01,A0118150101,90011188,46,2020
2019-10-01,A0118150101,90011189,51,2020
2019-10-01,A0118150101,90011190,7,2020
2019-10-01,A0118150101,90011192,33,2020
2019-10-01,A0118150101,90012033,37,2020
2019-10-01,A0118150101,90012034,15,2020
2019-10-01,A0118150101,90012036,19,2020
2019-10-01,A0118150101,90012037,21,2020
2019-10-01,A0118150101,90012038,11,2020
2019-10-01,A0118150101,90012040,40,2020
2019-10-01,A0118150101,90012041,41,2020
2019-10-01,A0118150101,90013116,24,2020
2019-10-01,A0118150101,90013117,37,2020
2019-10-01,A0118150101,90013118,14,2020
2019-10-01,A0118150101,90013120,34,2020
2019-10-01,A0118150101,90013121,17,2020
2019-10-01,A0118150101,90013122,13,2020
2019-10-01,A0118150101,90013124,12,2020
2019-10-01,A0118150101,90014136,5,2020
2019-10-01,A0118150101,90014137,19,2020
2019-10-01,A0118150101,90014138,5,2020
2019-10-01,A0118150101,90014140,6,2020
2019-10-01,A0118150101,90014141,5,2020
2019-10-01,A0118150101,90015144,16,2020
2019-10-01,A0118150101,90015145,20,2020
2019-10-01,A0118150101,90015146,5,2020
2019-10-01,A0118150101,90015148,18,2020
2019-10-01,A0118150101,90015149,10,2020
2019-10-01,A0118150101,90015150,15,2020
2019-10-01,A0118150101,90016172,27,2020
2019-10-01,A0118150101,90016173,27,2020
2019-10-01,A0118150101,90016174,13,2020
2019-10-01,A0118150101,90016176,5,2020
2019-10-01,A0118150101,90017049,12,2020
2019-10-01,A0118150101,90017050,12,2020
2019-10-01,A0118150101,90017052,4,2020
2019-10-01,A0118150101,90017053,29,2020
2019-10-01,A0118150101,90017054,29,2020
2019-10-01,A0118150101,90017056,7,2020
2019-10-01,A0118150101,90017057,17,2020
2019-10-01,A0118150101,90017058,19,2020
2019-10-01,A0118150101,90018105,14,2020
2019-10-01,A0118150101,90018106,6,2020
2019-10-01,A0118150101,90018108,11,2020
2019-10-01,A0118150101,90018109,11,2020
2019-10-01,A0118150101,90018110,9,2020
2019-10-01,A0118150101,90018112,12,2020
2019-10-01,A0118150101,90018113,5,2020
2019-10-01,A0118150101,90018114,12,2020
2019-10-01,A0118150101,90019200,1,2020
2019-10-01,A0118150101,90019201,2,2020
2019-10-01,A0118150101,90019202,2,2020
2019-10-01,A0118150101,90020097,1,2020
2019-10-01,A0118150101,90020098,1,2020
2019-10-01,A0118150101,90020100,1,2020
2019-10-01,A0118150101,90021086,49,2020
2019-10-01,A0118150101,90021088,37,2020
2019-10-01,A0118150101,90021089,31,2020
2019-10-01,A0118150101,90021090,59,2020
2019-10-01,A0118150101,90021092,24,2020
2019-10-01,A0118150101,90021093,59,2020
2019-10-01,A0118150101,90021094,62,2020
2019-10-01,A0118150101,90022072,163,2020
2019-10-01,A0118150101,90022073,163,2020
2019-10-01,A0118150101,90022074,30,2020
2019-10-01,A0118150101,90022076,154,2020
2019-10-01,A0118150101,90022077,162,2020
2019-10-01,A0118150101,90022078,101,2020
2019-10-01,A0118150101,90022080,114,2020
2019-10-01,A0118150101,90022081,37,2020
2019-10-01,A0118150101,90022082,138,2020
2019-10-01,A0118150101,90023022,76,2020
2019-10-01,A0118150101,90023024,26,2020
2019-10-01,A0118150101,90023025,63,2020
2019-10-01,A0118150101,90023026,56,2020
2019-10-01,A0118150101,90023028,10,2020
2019-10-01,A0118150101,90023029,16,2020
2019-10-01,A0118150101,90023030,25,2020
2019-10-01,A0118150101,90024184,2,2020
2019-10-01,A0118150101,90025209,1,2020
2019-10-01,A0118150101,90026205,20,2020
2019-11-01,A0118150101,70002017,190,2020
2019-11-01,A0118150101,70003181,69,2020
2019-11-01,A0118150101,70004069,11,2020
2019-11-01,A0118150101,70005163,19,2020
2019-11-01,A0118150101,70006157,83,2020
2019-11-01,A0118150101,70007199,135,2020
2019-11-01,A0118150101,70008169,107,2020
2019-11-01,A0118150101,70009133,28,2020
2019-11-01,A0118150101,70010047,21,2020
2019-11-01,A0118150101,70010048,25,2020
2019-11-01,A0118150101,70011193,65,2020
2019-11-01,A0118150101,70012043,37,2020
2019-11-01,A0118150101,70013125,32,2020
2019-11-01,A0118150101,70014143,27,2020
2019-11-01,A0118150101,70015151,11,2020
2019-11-01,A0118150101,70015152,27,2020
2019-11-01,A0118150101,70016177,31,2020
2019-11-01,A0118150101,70017060,36,2020
2019-11-01,A0118150101,70018115,15,2020
2019-11-01,A0118150101,70019204,1,2020
2019-11-01,A0118150101,70021096,29,2020
2019-11-01,A0118150101,70022084,181,2020
2019-11-01,A0118150101,70022085,43,2020
2019-11-01,A0118150101,70023031,47,2020
2019-11-01,A0118150101,70023032,93,2020
2019-11-01,A0118150101,70027208,5,2020
2019-11-01,A0118150101,80001019,100,2020
2019-11-01,A0118150101,80006155,226,2020
2019-11-01,A0118150101,80007195,392,2020
2019-11-01,A0118150101,80007196,760,2020
2019-11-01,A0118150101,90001020,97,2020
2019-11-01,A0118150101,90001021,94,2020
2019-11-01,A0118150101,90002001,76,2020
2019-11-01,A0118150101,90002003,276,2020
2019-11-01,A0118150101,90002004,287,2020
2019-11-01,A0118150101,90002005,73,2020
2019-11-01,A0118150101,90002007,93,2020
2019-11-01,A0118150101,90002008,459,2020
2019-11-01,A0118150101,90002009,375,2020
2019-11-01,A0118150101,90002011,280,2020
2019-11-01,A0118150101,90002012,150,2020
2019-11-01,A0118150101,90002013,88,2020
2019-11-01,A0118150101,90002015,43,2020
2019-11-01,A0118150101,90002016,268,2020
2019-11-01,A0118150101,90003179,121,2020
2019-11-01,A0118150101,90003180,42,2020
2019-11-01,A0118150101,90004061,7,2020
2019-11-01,A0118150101,90004063,5,2020
2019-11-01,A0118150101,90004064,13,2020
2019-11-01,A0118150101,90004065,3,2020
2019-11-01,A0118150101,90004067,13,2020
2019-11-01,A0118150101,90004068,8,2020
2019-11-01,A0118150101,90005159,65,2020
2019-11-01,A0118150101,90005160,38,2020
2019-11-01,A0118150101,90005161,76,2020
2019-11-01,A0118150101,90006153,107,2020
2019-11-01,A0118150101,90006156,18,2020
2019-11-01,A0118150101,90007197,185,2020
2019-11-01,A0118150101,90008164,92,2020
2019-11-01,A0118150101,90008165,111,2020
2019-11-01,A0118150101,90008167,95,2020
2019-11-01,A0118150101,90008168,29,2020
2019-11-01,A0118150101,90009127,24,2020
2019-11-01,A0118150101,90009128,18,2020
2019-11-01,A0118150101,90009129,31,2020
2019-11-01,A0118150101,90009131,26,2020
2019-11-01,A0118150101,90009132,15,2020
2019-11-01,A0118150101,90010044,22,2020
2019-11-01,A0118150101,90010045,19,2020
2019-11-01,A0118150101,90011185,59,2020
2019-11-01,A0118150101,90011187,38,2020
2019-11-01,A0118150101,90011188,17,2020
2019-11-01,A0118150101,90011189,51,2020
2019-11-01,A0118150101,90011191,62,2020
2019-11-01,A0118150101,90011192,53,2020
2019-11-01,A0118150101,90012033,10,2020
2019-11-01,A0118150101,90012035,31,2020
2019-11-01,A0118150101,90012036,34,2020
2019-11-01,A0118150101,90012037,42,2020
2019-11-01,A0118150101,90012039,8,2020
2019-11-01,A0118150101,90012040,19,2020
2019-11-01,A0118150101,90012041,6,2020
2019-11-01,A0118150101,90013116,41,2020
2019-11-01,A0118150101,90013117,17,2020
2019-11-01,A0118150101,90013119,48,2020
2019-11-01,A0118150101,90013120,35,2020
2019-11-01,A0118150101,90013121,13,2020
2019-11-01,A0118150101,90013123,30,2020
2019-11-01,A0118150101,90013124,56,2020
2019-11-01,A0118150101,90014135,20,2020
2019-11-01,A0118150101,90014136,10,2020
2019-11-01,A0118150101,90014137,34,2020
2019-11-01,A0118150101,90014139,37,2020
2019-11-01,A0118150101,90014140,20,2020
2019-11-01,A0118150101,90014141,25,2020
2019-11-01,A0118150101,90015144,8,2020
2019-11-01,A0118150101,90015145,19,2020
2019-11-01,A0118150101,90015147,5,2020
2019-11-01,A0118150101,90015148,33,2020
2019-11-01,A0118150101,90015149,32,2020
2019-11-01,A0118150101,90016171,9,2020
2019-11-01,A0118150101,90016172,19,2020
2019-11-01,A0118150101,90016173,35,2020
2019-11-01,A0118150101,90016175,25,2020
2019-11-01,A0118150101,90016176,7,2020
2019-11-01,A0118150101,90017049,35,2020
2019-11-01,A0118150101,90017051,20,2020
2019-11-01,A0118150101,90017052,17,2020
2019-11-01,A0118150101,90017053,14,2020
2019-11-01,A0118150101,90017055,22,2020
2019-11-01,A0118150101,90017056,31,2020
2019-11-01,A0118150101,90017057,5,2020
2019-11-01,A0118150101,90017059,18,2020
2019-11-01,A0118150101,90018105,11,2020
2019-11-01,A0118150101,90018107,15,2020
2019-11-01,A0118150101,90018108,5,2020
2019-11-01,A0118150101,90018109,11,2020
2019-11-01,A0118150101,90018111,11,2020
2019-11-01,A0118150101,90018112,4,2020
2019-11-01,A0118150101,90018113,3,2020
2019-11-01,A0118150101,90019200,5,2020
2019-11-01,A0118150101,90019201,4,2020
2019-11-01,A0118150101,90019203,2,2020
2019-11-01,A0118150101,90020097,2,2020
2019-11-01,A0118150101,90020099,2,2020
2019-11-01,A0118150101,90020100,2,2020
2019-11-01,A0118150101,90020101,2,2020
2019-11-01,A0118150101,90020103,2,2020
2019-11-01,A0118150101,90021087,47,2020
2019-11-01,A0118150101,90021088,68,2020
2019-11-01,A0118150101,90021089,13,2020
2019-11-01,A0118150101,90021091,14,2020
2019-11-01,A0118150101,90021092,41,2020
2019-11-01,A0118150101,90021093,55,2020
2019-11-01,A0118150101,90021095,29,2020
2019-11-01,A0118150101,90022071,34,2020
2019-11-01,A0118150101,90022072,46,2020
2019-11-01,A0118150101,90022073,110,2020
2019-11-01,A0118150101,90022075,30,2020
2019-11-01,A0118150101,90022076,150,2020
2019-11-01,A0118150101,90022077,193,2020
2019-11-01,A0118150101,90022079,39,2020
2019-11-01,A0118150101,90022080,182,2020
2019-11-01,A0118150101,90022081,205,2020
2019-11-01,A0118150101,90022083,74,2020
2019-11-01,A0118150101,90023023,157,2020
2019-11-01,A0118150101,90023024,19,2020
2019-11-01,A0118150101,90023025,57,2020
2019-11-01,A0118150101,90023027,35,2020
2019-11-01,A0118150101,90023028,96,2020
2019-11-01,A0118150101,90023029,68,2020
2019-11-01,A0118150101,90024183,4,2020
2019-11-01,A0118150101,90024184,4,2020
2019-11-01,A0118150101,90025209,1,2020
2019-11-01,A0118150101,90026205,20,2020
2019-11-01,A0118150101,90027207,5,2020
2019-12-01,A0118150101,70002018,269,2020
2019-12-01,A0118150101,70003182,52,2020
2019-12-01,A0118150101,70004070,18,2020
2019-12-01,A0118150101,70005163,37,2020
2019-12-01,A0118150101,70006158,69,2020
2019-12-01,A0118150101,70007198,72,2020
2019-12-01,A0118150101,70007199,63,2020
2019-12-01,A0118150101,70008170,38,2020
2019-12-01,A0118150101,70009134,26,2020
2019-12-01,A0118150101,70010047,45,2020
2019-12-01,A0118150101,70010048,13,2020
2019-12-01,A0118150101,70011194,24,2020
2019-12-01,A0118150101,70012042,49,2020
2019-12-01,A0118150101,70012043,18,2020
2019-12-01,A0118150101,70013126,14,2020
2019-12-01,A0118150101,70014142,26,2020
2019-12-01,A0118150101,70014143,16,2020
2019-12-01,A0118150101,70015151,32,2020
2019-12-01,A0118150101,70015152,22,2020
2019-12-01,A0118150101,70016178,41,2020
2019-12-01,A0118150101,70017060,41,2020
2019-12-01,A0118150101,70018115,21,2020
2019-12-01,A0118150101,70019204,1,2020
2019-12-01,A0118150101,70020104,1,2020
2019-12-01,A0118150101,70021096,46,2020
2019-12-01,A0118150101,70022084,226,2020
2019-12-01,A0118150101,70023031,25,2020
2019-12-01,A0118150101,70023032,39,2020
2019-12-01,A0118150101,70026206,29,2020
2019-12-01,A0118150101,70027208,35,2020
2019-12-01,A0118150101,80001019,236,2020
2019-12-01,A0118150101,80006154,435,2020
2019-12-01,A0118150101,80006155,128,2020
